Star_name,Distance,Mass,Radius
1.0,46.1,0.028637640000000002,0.99,
3.0,192,0.028637640000000002,1.63,
5.0,37.7,0.028637640000000002,1.09,
7.0,236,0.028637640000000002,1.44,
9.0,87.2,0.028637640000000002,0.98,
10.0,131,0.028637640000000002,1.43,
11.0,31,0.028637640000000002,0.94,
12.0,28.6,0.028637640000000002,0.94,
13.0,57,0.028637640000000002,1.62,
14.0,40,0.028637640000000002,1.3,
15.0,34,0.028637640000000002,0.94,
17.0,96,0.028637640000000002,1.43,
19.0,70,0.028637640000000002,0.98,
20.0,51,0.028637640000000002,0.98,
21.0,163,0.028637640000000002,1.62,
22.0,130,0.028637640000000002,1.61,
23.0,70,0.028637640000000002,0.97,
27.0,111,0.028637640000000002,0.97,
28.0,101,0.028637640000000002,1.53,
29.0,155,0.028637640000000002,1.62,
30.0,152,0.028637640000000002,1.41,
31.0,35,0.028637640000000002,0.99,
32.0,53,0.028637640000000002,1.08,
34.0,12.578,0.028637640000000002,1.27,
35.0,184,0.028637640000000002,1.9,
36.0,24,0.028637640000000002,1.9,
37.0,16.2,0.028637640000000002,0.97,
38.0,45,0.028637640000000002,0.97,
39.0,47,0.028637640000000002,1.15,
40.0,192,0.028637640000000002,1.66,
41.0,59,0.028637640000000002,0.95,
42.0,80,0.028637640000000002,1.3,
43.0,98,0.028637640000000002,0.98,
44.0,27.0,0.028637640000000002,1.04,
45.0,20.9,0.028637640000000002,1.43,
46.0,88,0.028637640000000002,1.05,
47.0,380,0.028637640000000002,3.78,
48.0,48,0.028637640000000002,1.27,
49.0,29.8,0.028637640000000002,1.32,
51.0,18.6,0.028637640000000002,0.95,
53.0,85,0.028637640000000002,1.09,
54.0,34,0.028637640000000002,1.26,
55.0,142,0.028637640000000002,1.97,
56.0,29.5,0.028637640000000002,0.97,
58.0,82,0.028637640000000002,1.78,
59.0,42,0.028637640000000002,1.00,
60.0,69,0.028637640000000002,1.04,
61.0,44,0.028637640000000002,1.00,
62.0,64,0.028637640000000002,1.38,
63.0,73,0.028637640000000002,0.97,
64.0,40,0.028637640000000002,1.01,
66.0,41.62,0.028637640000000002,1.01,
68.0,34.6,0.028637640000000002,1.41,
69.0,102,0.028637640000000002,1.51,
72.0,39,0.028637640000000002,0.99,
73.0,65,0.028637640000000002,1.01,
74.0,51,0.028637640000000002,1.05,
76.0,60,0.028637640000000002,1.03,
77.0,13.4,0.028637640000000002,0.98,
78.0,29.6,0.028637640000000002,0.94,
79.0,25.8,0.028637640000000002,0.94,
80.0,49,0.028637640000000002,0.94,
82.0,55,0.028637640000000002,1.03,
83.0,60,0.028637640000000002,2.01,
84.0,16.1,0.028637640000000002,0.94,
87.0,35,0.028637640000000002,0.98,
88.0,43,0.028637640000000002,0.99,
89.0,55,0.028637640000000002,1.15,
90.0,77,0.028637640000000002,0.96,
91.0,23.53,0.028637640000000002,1.00,
92.0,43,0.028637640000000002,1.00,
93.0,27.6,0.028637640000000002,1.07,
94.0,50,0.028637640000000002,0.98,
96.0,20.0,0.028637640000000002,0.94,
97.0,17.4,0.028637640000000002,0.95,
98.0,59,0.028637640000000002,0.96,
99.0,46,0.028637640000000002,0.94,
100.0,55,0.028637640000000002,0.98,
103.0,60,0.028637640000000002,1.41,
104.0,53,0.028637640000000002,0.97,
105.0,34.4,0.028637640000000002,0.94,
106.0,13.15,0.028637640000000002,1.07,
107.0,6.516,0.028637640000000002,1.02,
